Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-02-05 02:12:48,2024-02-06 00:34:11,UTC-08:00,2024-02-05 02:12:48,2024-02-05 07:57:54,58,18.9,268,345,207,10,51,77,461,0,80,46,false
2024-02-04 04:54:24,2024-02-05 02:12:48,UTC-08:00,2024-02-04 04:54:24,2024-02-04 12:27:59,100,13.8,415,450,130,119,166,35,319,8,92,23,false
2024-02-03 01:51:12,2024-02-04 04:54:24,UTC-08:00,2024-02-03 16:30:47,2024-02-03 19:30:47,33,13.7,155,180,63,29,63,25,469,8,94,,true
2024-02-03 01:51:12,2024-02-04 04:54:24,UTC-08:00,2024-02-03 01:51:12,2024-02-03 10:31:17,97,13.0,484,517,259,105,120,33,497,35,94,53,false
2024-02-02 01:24:11,2024-02-03 01:51:12,UTC-08:00,2024-02-02 01:24:11,2024-02-02 10:04:05,89,12.9,473,516,188,112,173,43,528,67,91,46,false
2024-02-01 01:10:08,2024-02-02 01:24:11,UTC-08:00,2024-02-01 01:10:08,2024-02-01 06:59:35,75,13.4,317,349,173,56,88,32,422,37,91,49,false
2024-01-30 23:50:38,2024-02-01 01:10:08,UTC-08:00,2024-01-31 10:27:52,2024-01-31 11:53:54,15,13.2,76,86,36,29,11,10,496,37,92,,true
2024-01-30 23:50:38,2024-02-01 01:10:08,UTC-08:00,2024-01-30 23:50:38,2024-01-31 07:00:39,55,13.0,274,306,157,50,67,32,501,37,90,36,false
2024-01-29 23:55:39,2024-01-30 23:50:38,UTC-08:00,2024-01-29 23:55:39,2024-01-30 06:44:32,86,12.9,359,408,206,61,92,49,417,127,89,37,false
2024-01-29 02:11:38,2024-01-29 23:55:39,UTC-08:00,2024-01-29 08:45:05,2024-01-29 12:04:05,30,12.9,178,198,94,14,70,20,587,127,91,,true
2024-01-29 02:11:38,2024-01-29 23:55:39,UTC-08:00,2024-01-29 02:11:38,2024-01-29 07:00:04,47,13.2,255,288,131,53,71,33,538,77,90,37,false
2024-01-28 06:02:44,2024-01-29 02:11:38,UTC-08:00,2024-01-28 06:02:44,2024-01-28 12:59:57,76,13.0,387,417,118,89,180,30,507,44,93,37,false
2024-01-27 03:24:52,2024-01-28 06:02:44,UTC-08:00,2024-01-27 03:24:52,2024-01-27 11:29:52,87,13.2,466,484,248,83,135,18,536,73,96,30,false
2024-01-26 03:30:16,2024-01-27 03:24:52,UTC-08:00,2024-01-26 03:30:16,2024-01-26 11:30:30,16,13.2,66,81,46,3,17,15,415,73,91,47,false
2024-01-24 23:29:39,2024-01-26 03:30:16,UTC-08:00,2024-01-25 09:30:48,2024-01-25 12:04:48,24,12.5,128,154,67,37,24,26,532,73,89,,true
2024-01-24 23:29:39,2024-01-26 03:30:16,UTC-08:00,2024-01-24 23:29:39,2024-01-25 07:00:19,77,13.1,373,450,85,105,183,40,488,82,83,49,false
2024-01-24 00:18:28,2024-01-24 23:29:39,UTC-08:00,2024-01-24 10:51:30,2024-01-24 11:54:56,10,13.0,56,63,34,6,16,7,544,82,88,,true
2024-01-24 00:18:28,2024-01-24 23:29:39,UTC-08:00,2024-01-24 00:18:28,2024-01-24 06:59:49,68,12.8,354,401,197,68,89,47,519,127,88,35,false
2024-01-22 23:59:10,2024-01-24 00:18:28,UTC-08:00,2024-01-23 10:48:32,2024-01-23 12:09:46,13,13.3,74,81,59,0,15,7,588,127,96,,true
2024-01-22 23:59:10,2024-01-24 00:18:28,UTC-08:00,2024-01-22 23:59:10,2024-01-23 07:00:31,51,13.5,248,296,126,59,63,48,483,127,84,34,false
2024-01-22 02:14:02,2024-01-22 23:59:10,UTC-08:00,2024-01-22 10:05:40,2024-01-22 12:10:13,19,12.5,112,124,72,20,20,12,588,127,92,,true
2024-01-22 02:14:02,2024-01-22 23:59:10,UTC-08:00,2024-01-22 02:14:02,2024-01-22 06:44:47,48,14.1,241,270,131,52,58,29,498,37,90,47,false
2024-01-21 03:32:01,2024-01-22 02:14:02,UTC-08:00,2024-01-21 03:32:01,2024-01-21 11:34:21,58,13.1,290,298,118,62,110,8,498,37,97,35,false
2024-01-20 02:53:37,2024-01-21 03:32:01,UTC-08:00,2024-01-20 02:53:37,2024-01-20 11:18:03,89,12.9,469,501,200,108,161,32,527,63,93,45,false
2024-01-19 01:44:59,2024-01-20 02:53:37,UTC-08:00,2024-01-19 01:44:59,2024-01-19 09:54:46,82,12.2,458,489,148,133,177,31,557,93,94,46,false
2024-01-17 23:22:14,2024-01-19 01:44:59,UTC-08:00,2024-01-17 23:22:14,2024-01-18 06:59:49,74,12.7,409,447,229,93,87,38,554,86,92,66,false
2024-01-16 23:33:38,2024-01-17 23:22:14,UTC-08:00,2024-01-16 23:33:38,2024-01-17 06:59:12,75,12.6,411,445,192,88,131,34,546,79,92,49,false
2024-01-16 00:32:36,2024-01-16 23:33:38,UTC-08:00,2024-01-16 00:32:36,2024-01-16 07:12:02,69,12.7,344,396,190,83,71,52,502,32,86,40,false
2024-01-15 01:20:49,2024-01-16 00:32:36,UTC-08:00,2024-01-15 01:20:49,2024-01-15 11:50:49,,,,,,,,,,,,,false
2024-01-14 01:19:54,2024-01-15 01:20:49,UTC-08:00,2024-01-14 01:19:54,2024-01-14 10:53:22,91,12.9,494,573,273,72,149,79,545,84,86,55,false
2024-01-12 23:00:46,2024-01-14 01:19:54,UTC-08:00,2024-01-12 23:00:46,2024-01-13 09:00:46,,,,,,,,,,,,,false
2024-01-12 01:59:10,2024-01-12 23:00:46,UTC-08:00,2024-01-12 01:59:10,2024-01-12 08:24:39,73,12.5,360,385,142,65,153,25,493,97,94,58,false
2024-01-11 00:00:24,2024-01-12 01:59:10,UTC-08:00,2024-01-11 10:40:08,2024-01-11 11:55:08,12,15.8,68,74,68,0,0,6,558,97,96,,true
2024-01-11 00:00:24,2024-01-12 01:59:10,UTC-08:00,2024-01-11 00:00:24,2024-01-11 07:03:23,66,12.6,386,419,177,76,133,33,581,102,93,69,false
